주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항
B0QV00VUW3,배달,바로결제,"이너프 샐러드, 목살 샐러드",,"렌치, 렌치",배민,10700,3000,13700,2020-08-25 17:52:25,2020-08-25 17:54:12,2020-08-25 18:54:12,전북 전주시 덕진구 덕진동 ****,-
B0QV00UXYV,배달,바로결제,"이너프 샐러드, 목살 샐러드",,"렌치, 오리엔탈",배민,10700,3000,13700,2020-08-25 17:43:39,2020-08-25 17:44:14,2020-08-25 18:44:14,전북 전주시 덕진구 금암1동 ****,-
B0QV00UJL6,배달,바로결제,"목살 샐러드, [ 렌치 추가 ]","목살 (100g), 숲속토핑 (110g)",오리엔탈,배민,12300,3500,15800,2020-08-25 17:39:53,2020-08-25 17:40:31,2020-08-25 18:40:31,전북 전주시 덕진구 송천2동 ****,"강낭콩,올리브,할라피뇨 다 빼주세요 :) 양파 양상추 옥수수 많이주세요"
B0QV00TZKN,배달,만나서결제,"이너프 샐러드, 숲속 샐러드",고구마 (50g),"드레싱, 오리엔탈",배민,10900,5000,15900,2020-08-25 17:32:21,2020-08-25 17:32:30,2020-08-25 18:32:30,전북 전주시 완산구 중화산1동 ****,-
B0QV00SCT5,배달,바로결제,"목살 샐러드, 훈제연어 샐러드",,"발사믹, 오리엔탈",배민,13300,4000,17300,2020-08-25 17:15:12,2020-08-25 17:16:48,2020-08-25 18:16:48,전북 전주시 덕진구 송천1동 ****,안녕하세요 혹시 많이시켜서 쟁여두고먹으려고하는데 유통기한이얼마나될까요 전화를 받지않으셔가지구요
B0QV00SBL8,배달,바로결제,"이너프 샐러드, 목살 샐러드","고구마 (50g), 숲속토핑 (110g)","오리엔탈, 오리엔탈",배민,13500,3500,17000,2020-08-25 17:13:13,2020-08-25 17:13:24,2020-08-25 18:13:24,전북 전주시 덕진구 송천2동 ****,-
B0QV00RYXY,배달,바로결제,"닭가슴살 샐러드, [ 렌치 추가 ]","닭가슴살 (100g), 숲속토핑 (110g), 삶은 달걀",렌치,배민,11800,4500,16300,2020-08-25 17:09:34,2020-08-25 17:09:52,2020-08-25 18:09:52,전북 전주시 덕진구 인후1동 ****,-
B0QV00RHJY,배달,바로결제,"닭가슴살 샐러드, 훈제연어 샐러드",,"오리엔탈, 렌치",배민,13500,3000,16500,2020-08-25 17:03:39,2020-08-25 17:03:49,2020-08-25 18:03:49,전북 전주시 덕진구 금암1동 ****,"닭가슴살은 강낭콩,할라피뇨 빼주시고 연어는 강낭콩만 빼주시고 할라피뇨는 더주세용!!"
B0QV00QZLJ,배달,바로결제,"이너프 샐러드, 닭가슴살 샐러드",,"렌치, 렌치",배민,10200,3000,13200,2020-08-25 16:51:25,2020-08-25 16:51:43,2020-08-25 17:51:43,전북 전주시 덕진구 금암2동 ****,-
B0QV00Q6OE,배달,바로결제,"목살 샐러드, 이너프 샐러드",,"오리엔탈, 오리엔탈",배민,10700,3500,14200,2020-08-25 16:38:15,2020-08-25 16:38:25,2020-08-25 17:38:25,전북 전주시 덕진구 송천2동 ****,-
B0QV00ODME,배달,바로결제,"숲속 샐러드, 훈제연어 샐러드",,"오리엔탈, 렌치",배민,12800,3000,15800,2020-08-25 16:01:37,2020-08-25 16:02:25,2020-08-25 17:02:25,전북 전주시 덕진구 금암1동 ****,강낭콩빼쥬세요!!!
B0QV00M0C1,배달,바로결제,"목살 샐러드, 이너프 샐러드",,"오리엔탈, 오리엔탈",배민,10700,3000,13700,2020-08-25 15:06:46,2020-08-25 15:07:08,2020-08-25 16:07:08,전북 전주시 덕진구 금암1동 ****,강낭콩 빼주세요
B0QV00EZGF,배달,바로결제,"이너프 샐러드, 닭가슴살 샐러드",고구마 (50g),"발사믹, 발사믹",배민,10900,3500,14400,2020-08-25 12:51:52,2020-08-25 12:52:00,2020-08-25 13:52:00,전북 전주시 덕진구 송천2동 ****,강낭콩. 할라피뇨. 올리브 빼주세요!!
B0QV00ELD9,배달,만나서결제,숲속 샐러드,목살 (100g),오리엔탈,배민,17000,3000,20000,2020-08-25 12:46:58,2020-08-25 12:47:06,2020-08-25 13:47:06,전북 전주시 덕진구 금암1동 ****,-
B0QV00DV3F,배달,바로결제,"이너프 샐러드, 이너프 샐러드","고구마 (50g), 고구마 (50g)","오리엔탈, 렌치",배민,10000,3000,13000,2020-08-25 12:37:26,2020-08-25 12:39:12,2020-08-25 13:39:12,전북 전주시 덕진구 금암1동 ****,-
B0QV00ACZA,배달,바로결제,"목살 샐러드, 숲속 샐러드",목살 (100g),"렌치, 오리엔탈",배민,14900,3500,18400,2020-08-25 11:57:09,2020-08-25 12:00:21,2020-08-25 13:00:21,전북 전주시 덕진구 송천2동 ****,(수저포크X)
B0QV00AA5P,배달,만나서결제,"목살 샐러드, 목살 샐러드, 목살 샐러드","숲속토핑 (110g), 삶은 달걀, 닭가슴살 (100g), 숲속토핑 (110g)","렌치, 발사믹, 렌치",배민,26700,3500,30200,2020-08-25 11:54:30,2020-08-25 11:55:02,2020-08-25 12:55:02,전북 전주시 덕진구 송천2동 ****,-
B0QV009Y7U,배달,바로결제,"훈제연어 샐러드, 목살 샐러드",,"오리엔탈, 오리엔탈",배민,13300,3000,16300,2020-08-25 11:49:42,2020-08-25 11:50:12,2020-08-25 12:50:12,전북 전주시 덕진구 금암2동 ****,-
B0QV008KMV,배달,바로결제,"이너프 샐러드, 훈제연어 샐러드",고구마 (50g),"오리엔탈, 오리엔탈",배민,12600,3000,15600,2020-08-25 11:36:07,2020-08-25 11:36:32,2020-08-25 12:36:32,전북 전주시 덕진구 금암2동 ****,강낭콩빼주세요
