주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항
B0QU00T6QZ,배달,바로결제,"숲속 샐러드, 이너프 샐러드",삶은 달걀,"오리엔탈, 발사믹",배민,10700,3000,13700,2020-08-24 17:44:57,2020-08-24 17:45:29,2020-08-24 18:45:29,전북 전주시 덕진구 금암1동 ****,-
B0QU00RN26,배달,바로결제,"닭가슴살 샐러드, 목살 샐러드",,"오리엔탈, 오리엔탈",배민,36900,3500,40400,2020-08-24 17:37:25,2020-08-24 17:37:38,2020-08-24 18:37:38,전북 전주시 완산구 중화산2동 ****,"포장 잘 해주시고 닭가슴살 샐러드 1개, 목살 샐러드 1개는 양파 빼주세요"
B0QU00PJKH,배달,바로결제,"목살 샐러드, 이너프 샐러드, 이너프 샐러드",고구마 (50g),"오리엔탈, 오리엔탈, 발사믹",배민,15700,3500,19200,2020-08-24 16:55:27,2020-08-24 16:55:36,2020-08-24 17:55:36,전북 전주시 완산구 서신동 ****,-
B0QU00PI3T,배달,만나서결제,닭가슴살 샐러드,숲속토핑 (110g),오리엔탈,배민,34800,3500,38300,2020-08-24 16:54:11,2020-08-24 16:54:19,2020-08-24 17:54:19,전북 전주시 완산구 중앙동 ****,-
B0QU00PAJD,배달,만나서결제,"이너프 샐러드, 훈제연어 샐러드",,"오리엔탈, 렌치",배민,11200,3000,14200,2020-08-24 16:46:20,2020-08-24 16:46:28,2020-08-24 17:46:28,전북 전주시 덕진구 덕진동 ****,두개다 강낭콩 올리브 할라피뇨 꼭 제외해주세요
B0QU00NZXH,배달,만나서결제,"이너프 샐러드, 훈제연어 샐러드, 목살 샐러드",,"렌치, 렌치, 렌치",배민,33100,3500,36600,2020-08-24 16:22:31,2020-08-24 16:22:40,2020-08-24 17:22:40,전북 전주시 완산구 중앙동 ****,현금영수증01046443051 (수저포크X)
B0QU00NPC7,배달,바로결제,"목살 샐러드, 숲속 샐러드, [ 렌치 추가 ]","숲속토핑 (110g), 삶은 달걀","렌치, 렌치",배민,15900,3000,18900,2020-08-24 16:16:20,2020-08-24 16:16:34,2020-08-24 17:16:34,전북 전주시 덕진구 덕진동 ****,견과류 빼주세요 !! 아몬드 빼주세요 !!!!
B0QU00MXH4,배달,만나서결제,"숲속 샐러드, 숲속 샐러드, 닭가슴살 샐러드",,"발사믹, 오리엔탈, 오리엔탈",배민,26400,3500,29900,2020-08-24 15:57:32,2020-08-24 15:57:48,2020-08-24 16:57:48,전북 전주시 완산구 서신동 ****,-
B0QU00GL89,배달,바로결제,"닭가슴살 샐러드, 닭가슴살 샐러드","숲속토핑 (110g), 숲속토핑 (110g)","렌치, 발사믹",배민,16000,3500,19500,2020-08-24 13:32:18,2020-08-24 13:32:24,2020-08-24 14:32:24,전라북도 전주시 덕진구 인후2동 ****,-
B0QU009HK2,배달,바로결제,"숲속 샐러드, 훈제연어 샐러드",,"발사믹, 렌치",배민,13500,3000,16500,2020-08-24 11:54:42,2020-08-24 11:58:38,2020-08-24 12:58:38,전북 전주시 덕진구 금암1동 ****,-
B0QU009LQ8,배달,바로결제,"숲속 샐러드, 목살 샐러드, 이너프 샐러드, 이너프 샐러드",,"오리엔탈, 오리엔탈, 오리엔탈, 발사믹",배민,42400,2500,44900,2020-08-24 11:54:36,2020-08-24 11:58:44,2020-08-24 12:58:44,전북 전주시 덕진구 인후2동 ****,일회용품 주지 마세요:) (수저포크X)
B0QU009FXX,배달,바로결제,"훈제연어 샐러드, 목살 샐러드",목살 (100g),"발사믹, 렌치",배민,15900,3500,19400,2020-08-24 11:53:53,2020-08-24 11:58:51,2020-08-24 12:58:51,전북 전주시 덕진구 송천2동 ****,둘다 양파빼주시고 목살은 올리브도 빼주세요!
B0QU0096WJ,배달,바로결제,"닭가슴살 샐러드, 목살 샐러드, 이너프 샐러드",,"오리엔탈, 발사믹, 렌치",배민,16600,3000,19600,2020-08-24 11:50:34,2020-08-24 11:50:43,2020-08-24 12:50:43,전북 전주시 덕진구 덕진동 ****,-
B0QU008UXW,배달,바로결제,"목살 샐러드, 훈제연어 샐러드",목살 (100g),"오리엔탈, 오리엔탈",배민,17300,3000,20300,2020-08-24 11:46:18,2020-08-24 11:46:31,2020-08-24 12:46:31,전북 전주시 덕진구 금암2동 ****,-
B0QU008SJC,배달,만나서결제,"숲속 샐러드, 닭가슴살 샐러드, 닭가슴살 샐러드",,"오리엔탈, 오리엔탈, 렌치",배민,18400,3500,21900,2020-08-24 11:43:33,2020-08-24 11:43:45,2020-08-24 12:43:45,전북 전주시 완산구 서신동 ****,-
B0QU005ZPX,배달,바로결제,"이너프 샐러드, 숲속 샐러드",,"오리엔탈, 렌치",배민,18800,3500,22300,2020-08-24 11:07:57,2020-08-24 11:10:09,2020-08-24 12:10:09,전북 전주시 덕진구 진북동 ****,올리브 할라피뇨 빼주세요
